Compound,Date,Negative,Neutral,Positive,Text
0.0,Tue Mar 13 19:00:05 +0000 2018,1.0,0.0,0.0,? Charis is 19 years old and makes SWORDS for a living! https://t.co/kUUiAjIwNu
0.0,Tue Mar 13 18:30:05 +0000 2018,1.0,0.0,0.0,"Microplastics are littering riverbeds across the UK, with hundreds of thousands of plastic particles per square met… https://t.co/cGhDdnQrTm"
0.6696,Tue Mar 13 17:30:06 +0000 2018,0.71,0.0,0.29,???? Ballet is STILL the love of Joyce's life at 98-years-old! https://t.co/nzr3Jy1wbS
-0.296,Tue Mar 13 17:16:46 +0000 2018,0.913,0.087,0.0,"RT @bbcthree: ""No one needs airbags because you've got two"" 

.... and others things not to say to people who've had cosmetic procedures ht…"
0.3182,Tue Mar 13 17:13:13 +0000 2018,0.897,0.0,0.103,"RT @BBCR1: Now we have a trailer for #FantasticBeasts: The Crimes of Grindelwald, please can we take a moment to discuss Eddie Redmanyne's…"
-0.5255,Tue Mar 13 17:02:28 +0000 2018,0.72,0.188,0.092,"RT @bbcwritersroom: #Networking, a necessary evil - and why you've got to learn to embrace it! 

Check out @PhilipShelley1's latest blog fo…"
0.6808,Tue Mar 13 14:00:22 +0000 2018,0.702,0.054,0.244,"From making serious science genuinely popular to his sense of humour, here are seven reasons we ?? Stephen Hawking.… https://t.co/zWNEpoOttE"
0.4215,Tue Mar 13 13:00:08 +0000 2018,0.865,0.0,0.135,? This scheme to recycle unused paint has saved hundreds of tons of leftovers from ending up in landfill. https://t.co/Y6oau3hK0s
0.0258,Tue Mar 13 12:26:59 +0000 2018,0.824,0.086,0.09,?? Fans of #KPop boyband #BigBang have been asked to stop sending fan mail to @IBGDRGN at the army base where he's… https://t.co/Swh0KwypL7
0.0,Tue Mar 13 12:03:24 +0000 2018,1.0,0.0,0.0,"RT @bbcouch: During the Winter Olympics people across Britain were swept away by curling. And Aileen Neilson, captain of @ParalympicsGB’s c…"
0.25,Tue Mar 13 12:00:09 +0000 2018,0.9,0.0,0.1,"Shakespeare's plays are famous around the world, yet much about the playwright is still a mystery. 

Here's what we… https://t.co/McqCcs3mMj"
-0.431,Tue Mar 13 11:28:09 +0000 2018,0.808,0.192,0.0,"RT @bbcthree: ""Underwater you feel nothing. You're at peace with yourself.""  #perfectday2018 https://t.co/zHpEQSzk4H"
-0.4588,Tue Mar 13 11:26:58 +0000 2018,0.88,0.12,0.0,"RT @BBCiPlayer: Renowned shop owner and music producer, Blacker Dread, was amongst the first pioneers of sound system culture in the UK ??…"
0.0,Tue Mar 13 09:00:06 +0000 2018,1.0,0.0,0.0,"? Are we really born to prefer 'boys' or 'girls' toys? 

? The answer might lie with monkeys... https://t.co/oI014dsJHD"
0.6304,Tue Mar 13 08:30:07 +0000 2018,0.718,0.081,0.2,"? Accents can be subject to subtle forms of prejudice, but does that mean some are more appealing and trustworthy t… https://t.co/BgEMXgEzSr"
-0.0772,Tue Mar 13 08:00:03 +0000 2018,0.76,0.129,0.111,Marianne's search for her missing daughter could be straight out of the film #ThreeBillboards. https://t.co/dph6hhzlXi
