Compound,Date,Negative,Neutral,Positive,Text
-0.4404,Tue Mar 13 18:58:26 +0000 2018,0.847,0.153,0.0,Was President Trump right to block the Broadcom-Qualcomm deal? Foreign investment and technology research experts w… https://t.co/qL4s1DOAVJ
-0.5423,Tue Mar 13 18:56:43 +0000 2018,0.788,0.212,0.0,Actress Lynda Carter recounts alleged harassment on 'Wonder Woman' TV show set https://t.co/PuLZqOH8kM https://t.co/yqnoBLbUGt
-0.5574,Tue Mar 13 18:42:13 +0000 2018,0.841,0.159,0.0,"Just hours after he was fired by President Trump, Rex Tillerson defended his achievements as secretary of state and… https://t.co/WhQgIhvDWI"
-0.34,Tue Mar 13 18:40:10 +0000 2018,0.821,0.179,0.0,The 9 people President Trump might fire next | Analysis by @CillizzaCNN https://t.co/HDi8ssMJ7y https://t.co/aOh1bYu39F
-0.34,Tue Mar 13 18:33:40 +0000 2018,0.882,0.118,0.0,"In his farewell statement, Secretary of State Rex Tillerson calls out Russia, warning “much work remains to respond… https://t.co/2VmTalxSYD"
0.0,Tue Mar 13 18:30:06 +0000 2018,1.0,0.0,0.0,She was Canada's Rosa Parks. Now she's the first black person to appear on its currency. https://t.co/LMsxnqiPOG https://t.co/17QAITyhw3
0.0,Tue Mar 13 18:26:49 +0000 2018,1.0,0.0,0.0,"Rex Tillerson says he spoke to President Trump on the phone around noon today, hours after the President tweeted th… https://t.co/VbCjfCvT5T"
0.0,Tue Mar 13 18:20:06 +0000 2018,1.0,0.0,0.0,Secretary of State Rex Tillerson says he is delegating all authorities as of today to Deputy Secretary of State Joh… https://t.co/3hGJ9NXUIp
0.0,Tue Mar 13 18:15:15 +0000 2018,1.0,0.0,0.0,"5 senior Trump admin. officials who have left in the last 2 weeks:

? Sec. of State Rex Tillerson

? Economic advis… https://t.co/ayf2KnUNKY"
-0.5574,Tue Mar 13 18:12:14 +0000 2018,0.833,0.167,0.0,"Rex Tillerson is speaking from the State Department just hours after being fired by President Trump

Live updates:… https://t.co/3Ubsa7eYPD"
0.0,Tue Mar 13 18:05:06 +0000 2018,1.0,0.0,0.0,"Pope Francis is firmly among the most liberal, global and politically relevant Holy Fathers in modern history. And… https://t.co/zweecyqRio"
-0.6705,Tue Mar 13 17:55:25 +0000 2018,0.816,0.184,0.0,"Activists placed 7,000 pairs of shoes in front of the US Capitol building on Tuesday, to remember children killed b… https://t.co/lRzPLjH5WG"
-0.0516,Tue Mar 13 17:45:54 +0000 2018,0.805,0.102,0.093,"Outgoing Secretary of State Rex Tillerson will speak at 2 p.m. ET for the first time since his firing.

Live update… https://t.co/QNwIl6MT55"
-0.7269,Tue Mar 13 17:36:20 +0000 2018,0.747,0.253,0.0,"At least 38 people were killed in northern Ethiopia after a bus they were traveling in hurtled off a cliff, officia… https://t.co/bkn4ka9U5s"
0.0,Tue Mar 13 17:25:04 +0000 2018,1.0,0.0,0.0,"This 6-year-old boy's lemonade stand raised $7,000 for the family of a slain deputy https://t.co/oNZX529ovg https://t.co/nnt4cYmnir"
0.6249,Tue Mar 13 17:21:22 +0000 2018,0.779,0.0,0.221,"Lead exposure may be responsible for nearly 10 times more deaths in the United States than previously thought, acco… https://t.co/UXyalB8RAO"
0.0772,Tue Mar 13 17:11:03 +0000 2018,0.702,0.14,0.158,"These teachers in Ennis, Texas, are attending gun and active shooter training https://t.co/9PIhY9E9pl https://t.co/vsQZYpA8sd"
-0.34,Tue Mar 13 17:00:07 +0000 2018,0.821,0.179,0.0,"President Trump should fire Betsy DeVos, writes @jrpsaki for @CNNopinion https://t.co/DNZ8Sl2LQJ https://t.co/wQsRCQGgqF"
0.0772,Tue Mar 13 16:52:29 +0000 2018,0.915,0.0,0.085,The 3 Republicans who could challenge Donald Trump in 2020 | Analysis by CNN's Chris Cillizza… https://t.co/HCbc4g3Pdh
0.0,Tue Mar 13 16:51:09 +0000 2018,1.0,0.0,0.0,"Hours after his boss Rex Tillerson was ousted, Steve Goldstein, the under secretary of Public Affairs at the State… https://t.co/qbm8fihFYZ"
0.6249,Tue Mar 13 16:41:58 +0000 2018,0.779,0.0,0.221,"Lead exposure may be responsible for nearly 10 times more deaths in the United States than previously thought, acco… https://t.co/AcoH7LO08o"
-0.3182,Tue Mar 13 16:31:07 +0000 2018,0.901,0.099,0.0,"""Sometimes I don't know what this world has come to

It's blowing up

This whole country is going nuts

And the NRA… https://t.co/9jtDrBvbgj"
0.1531,Tue Mar 13 16:25:21 +0000 2018,0.914,0.0,0.086,"A new study ties extreme winter weather, specifically major snowstorms in the northeastern US, to warming Arctic te… https://t.co/zpojxR4m7U"
-0.5106,Tue Mar 13 16:15:09 +0000 2018,0.809,0.191,0.0,"This ex-convict took cooking classes in prison. Now, he runs a bustling burger joint. https://t.co/sgnbwqAX3Q https://t.co/iGLFDSBu8n"
-0.25,Tue Mar 13 16:10:04 +0000 2018,0.905,0.095,0.0,"James Schwab, a spokesman for the San Francisco Division of ICE, has resigned, citing what he says are falsehoods b… https://t.co/Me2P1QMeS8"
0.4019,Tue Mar 13 16:05:08 +0000 2018,0.881,0.0,0.119,The royal wedding of Prince Harry and Meghan Markle is not expected to translate into an immediate boost for Britis… https://t.co/bJdSyXwj9v
0.0,Tue Mar 13 15:55:45 +0000 2018,1.0,0.0,0.0,"3 bombs, many questions — Here's what we know (and don't know) about the Austin package explosions:… https://t.co/GiFhkVrpp6"
-0.5719,Tue Mar 13 15:43:31 +0000 2018,0.73,0.215,0.056,"Why I want my child to participate in the national school walkout, even if she gets in trouble | via @CNNopinion… https://t.co/7PkuM4VnZs"
0.0,Tue Mar 13 15:34:09 +0000 2018,1.0,0.0,0.0,"5 senior Trump admin. officials who have left in the last 2 weeks:

? Sec. of State Rex Tillerson

? Economic advis… https://t.co/Z2yphqfT2C"
0.4767,Tue Mar 13 15:25:02 +0000 2018,0.853,0.0,0.147,"""We've gone completely off the rails"": After the House Intelligence Committee announced it was shutting down its pr… https://t.co/CBGvYgeYce"
-0.5574,Tue Mar 13 15:11:20 +0000 2018,0.825,0.175,0.0,President Trump’s personal aide Johnny McEntee was fired because he is currently under investigation by the Departm… https://t.co/JDj8lM0EbU
0.3182,Tue Mar 13 15:00:06 +0000 2018,0.881,0.0,0.119,President Trump suggests he believes the British government's theory that Russia was likely responsible for the ner… https://t.co/SjW4H5Grz5
0.0,Tue Mar 13 14:50:09 +0000 2018,1.0,0.0,0.0,"? Secretary of State Rex Tillerson is out

? CIA Director Mike Pompeo is Trump's pick to replace Tillerson

? Gina… https://t.co/zkAW9j0RlA"
-0.6705,Tue Mar 13 14:40:06 +0000 2018,0.8,0.2,0.0,At least one person was killed when a bus carrying Houston-area band students drove into a 50-foot ravine in Baldwi… https://t.co/mIZVdyiHtr
-0.5859,Tue Mar 13 14:36:39 +0000 2018,0.858,0.142,0.0,RT @cnni: Police update on poisoning of Russian former spy: Sergei Skripal's daughter Yulia had arrived in the UK from Russia the day befor…
0.0,Tue Mar 13 14:30:06 +0000 2018,1.0,0.0,0.0,"President Trump announced that Gina Haspel, who is currently CIA deputy director, is his pick to replace Mike Pompe… https://t.co/kOrlaAu4v7"
-0.4939,Tue Mar 13 14:23:02 +0000 2018,0.849,0.151,0.0,"RT @CNNweather: The blizzard in Boston is a 'bomb cyclone.' 

Watch live -- https://t.co/q80AsGNM3o
Get the latest information -- https://t…"
-0.5574,Tue Mar 13 14:20:05 +0000 2018,0.833,0.167,0.0,"President Trump's longtime personal aide John McEntee was fired and escorted from the White House on Monday, three… https://t.co/sdIgg0rMjs"
0.296,Tue Mar 13 14:10:07 +0000 2018,0.682,0.109,0.209,How Rex Tillerson's firing proves that absolute loyalty is all that matters to President Trump | Analysis by… https://t.co/9mIKr5p15Q
-0.5574,Tue Mar 13 14:01:00 +0000 2018,0.796,0.204,0.0,Several senior Republican aides say they were given no heads up on Trump’s decision to fire Rex Tillerson: “Twitter… https://t.co/e7oBqNqLyb
0.0,Tue Mar 13 13:55:15 +0000 2018,1.0,0.0,0.0,READ: 1-page summary of initial Republican findings in the House Russia investigation https://t.co/Dkju0mP7YL https://t.co/Z943hNbxjQ
-0.5574,Tue Mar 13 13:51:46 +0000 2018,0.841,0.159,0.0,"Rex Tillerson found out he was fired by President Trump's tweet on Tuesday morning, according to Steve Goldstein, u… https://t.co/4XfIdNVOPv"
-0.3182,Tue Mar 13 13:44:50 +0000 2018,0.785,0.13,0.085,"RT @cnni: President Trump on UK investigation into poisoning of Russian former spy: ""It sounds to me like they believe it was Russia, and I…"
-0.5574,Tue Mar 13 13:42:08 +0000 2018,0.825,0.175,0.0,"A young news reporter, a firefighter and a tourist from Argentina were among the five passengers who died in a heli… https://t.co/uIwY9dqolv"
0.4939,Tue Mar 13 13:40:51 +0000 2018,0.842,0.0,0.158,"President Trump commends Mike Pompeo, his choice to succeed Rex Tillerson as secretary of state: ""Tremendous energy… https://t.co/HW31lqjUEL"
0.8744,Tue Mar 13 13:33:43 +0000 2018,0.593,0.0,0.407,President Trump: “I wish Rex Tillerson well… I very much appreciate his commitment and his service and I wish him w… https://t.co/YA5NRZNi63
0.0,Tue Mar 13 13:33:35 +0000 2018,1.0,0.0,0.0,"There is an arrow hidden in the FedEx logo. (If you've never noticed it, prepare to be blown away.)

Hidden designs… https://t.co/YrFWEZ9axw"
-0.7184,Tue Mar 13 13:26:51 +0000 2018,0.714,0.286,0.0,@kaitlancollins President Trump’s anger at Rex Tillerson never subsided after it leaked that Tillerson called Trump… https://t.co/ja5NVzEqGe
0.4019,Tue Mar 13 13:25:57 +0000 2018,0.876,0.0,0.124,"This high school in Anchorage, Alaska, is using the sound of real gunfire to prepare students for active shooters… https://t.co/A9WFpVd1Y0"
0.0,Tue Mar 13 13:24:07 +0000 2018,1.0,0.0,0.0,President Trump did not feel Rex Tillerson had his back lately and has wanted Mike Pompeo as his secretary of state… https://t.co/23gUJFqdft
0.2732,Tue Mar 13 13:17:28 +0000 2018,0.846,0.0,0.154,"""To call the interview peculiar is an understatement,"" CNN legal analyst Jeffrey Toobin writes about a 2006 O.J. Si… https://t.co/bKLR3u7TN5"
0.0,Tue Mar 13 13:11:01 +0000 2018,1.0,0.0,0.0,"President Trump is tapping CIA Director Mike Pompeo to be the new secretary of state, replacing Rex Tillerson. Read… https://t.co/VVFzjGggXJ"
0.0,Tue Mar 13 13:06:28 +0000 2018,1.0,0.0,0.0,President Trump asked Rex Tillerson to step aside as Secretary of State and is replacing him with CIA Director Mike… https://t.co/LF4e3p8UzI
0.4019,Tue Mar 13 13:04:37 +0000 2018,0.881,0.0,0.119,"A court has decided that Charles Manson's body, after months sitting on ice, will go to Jason Freeman -- who claims… https://t.co/fTZW3f8mjT"
0.0,Tue Mar 13 12:59:32 +0000 2018,1.0,0.0,0.0,"President Trump believed it was the right time to ask Tillerson to step aside and did so on Friday, according to a… https://t.co/mJbTkGbMIb"
0.0,Tue Mar 13 12:50:35 +0000 2018,1.0,0.0,0.0,BREAKING: President Trump fires Secretary of State Rex Tillerson and is replacing him with CIA Director Mike Pompeo… https://t.co/y5rzYW26nZ
0.3612,Tue Mar 13 12:45:37 +0000 2018,0.561,0.158,0.281,"The father of Joaquin Oliver, who was killed in the Florida school shooting, created a powerful mural to honor his… https://t.co/x1bl5M4ebr"
0.0,Tue Mar 13 12:38:03 +0000 2018,1.0,0.0,0.0,Former Trump campaign adviser Roger Stone told associates he was in contact with WikiLeaks founder Julian Assange i… https://t.co/veWMI0xnGl
0.4019,Tue Mar 13 12:26:10 +0000 2018,0.87,0.0,0.13,"""The special counsel is not an unguided missile."" In an interview, Deputy Attorney General Rod Rosenstein offered f… https://t.co/JZWsKSK04w"
0.0,Tue Mar 13 12:20:06 +0000 2018,1.0,0.0,0.0,President Trump will visit his border wall prototypes today along the border in San Diego. Here's what he'll see:… https://t.co/9WA0JiIpoG
-0.4404,Tue Mar 13 12:10:04 +0000 2018,0.805,0.195,0.0,There's a whiff of birtherism in Trump's 'Pocahantas' attacks | Analysis by @zbyronwolf https://t.co/IuS21zWieS https://t.co/0CYkKop3tM
-0.2023,Tue Mar 13 12:00:09 +0000 2018,0.811,0.113,0.077,"People in Austin,Texas, are being told to be vigilant about unexpected or suspicious packages at their door after a… https://t.co/WtttrQgrOD"
0.34,Tue Mar 13 11:50:09 +0000 2018,0.882,0.0,0.118,Hillary Clinton told a receptive audience in India that while she thought President Trump played to some of America… https://t.co/TKcUV4kvHN
0.0,Tue Mar 13 11:40:06 +0000 2018,1.0,0.0,0.0,Moms still earn less than childless women -- and the gap isn't closing https://t.co/S69tij1IiE https://t.co/t3Uir4N8zs
-0.5106,Tue Mar 13 11:30:06 +0000 2018,0.809,0.191,0.0,"This ex-convict took cooking classes in prison. Now, he runs a bustling burger joint. https://t.co/14JFKWzNeB https://t.co/IGKc7xhzJ7"
0.0,Tue Mar 13 11:15:10 +0000 2018,1.0,0.0,0.0,"5 things for Tuesday:

- Russia investigation
- Pennsylvania
- Austin bombings
- Saudi Arabia
- World Health Organi… https://t.co/jtJuPBgZi4"
0.4019,Tue Mar 13 11:06:04 +0000 2018,0.863,0.0,0.137,Republican state Rep. Rick Saccone and Democratic former prosecutor Conor Lamb square off today in a special electi… https://t.co/8dplQNkEAG
0.4767,Tue Mar 13 11:01:15 +0000 2018,0.823,0.0,0.177,"What if you were paid to exercise? That's the idea behind Sweatcoin, created by two Russian fitness fanatics. The L… https://t.co/yhdbYj7i43"
0.0,Tue Mar 13 10:50:22 +0000 2018,1.0,0.0,0.0,"A new purported military video of an unidentified aircraft has been made public, following the Pentagon's acknowled… https://t.co/j2PdjadB8K"
-0.3818,Tue Mar 13 10:40:09 +0000 2018,0.894,0.106,0.0,"New England is bracing for its third nor'easter in less than two weeks, which threatens to hit the region with as m… https://t.co/kaGZAWKbLv"
-0.5574,Tue Mar 13 10:27:04 +0000 2018,0.833,0.167,0.0,"A former Nazi SS guard known as ""the bookkeeper of Auschwitz"" has died before serving a four-year jail term, author… https://t.co/elAasKrIYb"
