Compound,Date,Negative,Neutral,Positive,Text
0.5267,Tue Mar 13 18:59:27 +0000 2018,0.773,0.0,0.227,".@AGBecerra: ""We respect that [feds] want to do immigration enforcement. They have to do immigration enforcement.… https://t.co/lS5WefbHE0"
0.0,Tue Mar 13 18:49:34 +0000 2018,1.0,0.0,0.0,".@AGBecerra: ""Building walls - that's a medieval technology that doesn't really have a place in the 21st century.""… https://t.co/bNtY113whH"
-0.5423,Tue Mar 13 18:40:09 +0000 2018,0.735,0.184,0.082,A little boy makes a touching tribute to an officer killed in the line of duty: saluting a memorial created for the… https://t.co/VBmlfmDceh
0.8316,Tue Mar 13 18:36:58 +0000 2018,0.645,0.0,0.355,"Rex Tillerson: “To the 300 plus million Americans, thank you for your devotion to a free and open society.” https://t.co/Zf5MwHUvA3"
0.128,Tue Mar 13 18:32:03 +0000 2018,0.927,0.0,0.073,Rex Tillerson: “The men and women in uniform at the Department of Defense under the leadership of Secretary Mattis… https://t.co/u5uOEwr9IG
0.0,Tue Mar 13 18:20:36 +0000 2018,1.0,0.0,0.0,Rex Tillerson: “My commission as secretary of state will terminate at midnight March the 31st.” https://t.co/T9Ky8PTVG1
0.5709,Tue Mar 13 18:14:52 +0000 2018,0.793,0.0,0.207,Rex Tillerson: “What is most important is to ensure an orderly and smooth transition during a time that the country… https://t.co/SLZdOIdXTP
0.296,Tue Mar 13 18:11:17 +0000 2018,0.784,0.0,0.216,Outgoing Secretary of State Rex Tillerson gives a statement https://t.co/MpBEImJVMi
0.6249,Tue Mar 13 18:08:28 +0000 2018,0.687,0.0,0.313,"Florida fishermen have close encounter with great white shark
https://t.co/0KhCJG4V1G"
0.2023,Tue Mar 13 17:57:22 +0000 2018,0.921,0.0,0.079,RT @dailybriefing: BREAKING NEWS: Tillerson to speak at 2pm - tune in to @FoxNews with @DanaPerino at the top of the hour #DailyBriefing
0.7603,Tue Mar 13 17:51:59 +0000 2018,0.744,0.0,0.256,HEARTWARMING: A driver in Georgia went out of his way to help an elderly man cross a busy street Sunday in a heartw… https://t.co/6WVGHjaYtD
-0.7845,Tue Mar 13 17:38:03 +0000 2018,0.615,0.385,0.0,JUST IN: Prosecutors to seek death penalty for Florida high school shooter https://t.co/BxtZbAZR1V
0.0,Tue Mar 13 17:29:37 +0000 2018,1.0,0.0,0.0,.@HurdOnTheHill: “We need to transition now into working on developing a strategy to counter Russian disinformation… https://t.co/MyADj3fZGE
0.0,Tue Mar 13 17:26:30 +0000 2018,1.0,0.0,0.0,.@HurdOnTheHill: “The men and women in the CIA and the FBI are hardworking professionals that don’t follow any of t… https://t.co/7AAUMFRKur
0.0,Tue Mar 13 17:19:58 +0000 2018,1.0,0.0,0.0,CIA Deputy Director Gina Haspel released a statement on President @realDonaldTrump's plan to pick her to head the C… https://t.co/nNQkEqP2v2
0.2023,Tue Mar 13 17:17:37 +0000 2018,0.859,0.0,0.141,68-year-old woman catches 130-pound ‘monster’ fish on casual trip (via @JaninePuhak) https://t.co/gay4PqJyYD
-0.6249,Tue Mar 13 17:15:00 +0000 2018,0.76,0.24,0.0,"Heather Locklear facing 4 counts of battery on an officer, domestic violence charge dropped https://t.co/5rvIDmkVXB"
0.0,Tue Mar 13 17:13:30 +0000 2018,1.0,0.0,0.0,California @AGBecerra holds a news conference  https://t.co/QETO1lFt8K
0.743,Tue Mar 13 17:09:59 +0000 2018,0.69,0.0,0.31,ABC News star Joy Behar finally apologizes for anti-Christian remarks: 'Vice President Pence is right' https://t.co/P4s2yMWGdp
0.3612,Tue Mar 13 16:57:00 +0000 2018,0.878,0.0,0.122,"RT @FoxBusiness: .@CharlesSchwab: ""The tax bill is one massive incentive that this country will grow at probably... a 4 [percent] number...…"
-0.296,Tue Mar 13 16:55:35 +0000 2018,0.845,0.155,0.0,"GOP resolution condemning anti-Semitic Louis Farrakhan puts pressure on Dems - via @brookefoxnews 
https://t.co/Opu68tLrUm"
-0.3612,Tue Mar 13 16:54:37 +0000 2018,0.839,0.161,0.0,.@DonaldJTrumpJr: Dems Won't Let Go of Russia 'Witch Hunt' Despite House Intel Findings https://t.co/4sfKpN0fyi
0.0,Tue Mar 13 16:45:57 +0000 2018,1.0,0.0,0.0,10-year-old boy in wheelchair becomes cop for a day https://t.co/pxZy8p8C4a
-0.7964,Tue Mar 13 16:40:00 +0000 2018,0.552,0.448,0.0,"Female @Microsoft employees filed hundreds of harassment and discrimination complaints, lawsuit says https://t.co/Kct5DdLDFW"
0.0,Tue Mar 13 16:30:00 +0000 2018,1.0,0.0,0.0,Real Madrid superstar Sergio Ramos drives a tiny car https://t.co/fg4uKtRTME
0.2263,Tue Mar 13 16:21:23 +0000 2018,0.872,0.0,0.128,".@Stanford reverses decision, will allow American flag on College Republicans’ apparel (via @calebparke)
https://t.co/FLG494QYEr"
0.0,Tue Mar 13 16:15:00 +0000 2018,1.0,0.0,0.0,'Speed Queen' Valerie Thompson aiming to break 376 mph motorcycle record this weekend https://t.co/OmHt49KNV3
-0.5574,Tue Mar 13 16:08:27 +0000 2018,0.753,0.247,0.0,OPINION: Why was Rex Tillerson fired? Think North Korea (via @FoxNewsOpinion) https://t.co/1ny9rirgfa
-0.296,Tue Mar 13 16:05:00 +0000 2018,0.701,0.178,0.121,"Nerve agent Novichock, used in ex-spy's poisoning, is 5 times stronger than VX or sarin https://t.co/8RIjiowVTV (via @luciasuarezsang)"
-0.2732,Tue Mar 13 15:57:00 +0000 2018,0.884,0.116,0.0,"Car belonging to decapitated woman found in California, charges filed in survivalist bunker case https://t.co/JMkXpewLeX (via @travfed)"
0.0,Tue Mar 13 15:53:56 +0000 2018,1.0,0.0,0.0,"After @POTUS tweeted that CIA Director Mike Pompeo will replace Rex Tillerson as secretary of state, House Minority… https://t.co/IDT6MwGy55"
-0.4767,Tue Mar 13 15:50:35 +0000 2018,0.795,0.205,0.0,.@michellemalkin: Hillary's Comments on Trump Voters Way Worse Than Calling Them 'Deplorables' https://t.co/bTBMTZ8wad
0.0,Tue Mar 13 15:47:59 +0000 2018,1.0,0.0,0.0,"After @POTUS tweeted that CIA Director Mike Pompeo will replace Rex Tillerson as secretary of state, @SenSchumer is… https://t.co/SlJNSBjYPp"
-0.296,Tue Mar 13 15:43:25 +0000 2018,0.82,0.18,0.0,.@RepDeSantis: “There’s no collusion between the Trump campaign and Russia.” https://t.co/GUYP0mXksd
-0.8957,Tue Mar 13 15:43:00 +0000 2018,0.42,0.496,0.084,"SXSW: Sadiq Khan shares death threats he's received, asks tech companies to fight hate, disinformation… https://t.co/QUGJh90fQb"
-0.4939,Tue Mar 13 15:33:34 +0000 2018,0.758,0.242,0.0,.@RepDeSantis: “[Mike Pompeo] understands the dangers posed by North Korea.” https://t.co/GZ8aWvSPvb
0.1027,Tue Mar 13 15:14:16 +0000 2018,0.73,0.124,0.146,".@DevinNunes: No Evidence of Trump-Russia Collusion, But 'Clear Links' Between Clinton Campaign &amp; Russians https://t.co/YWFx75LNyN"
0.0,Tue Mar 13 15:05:38 +0000 2018,1.0,0.0,0.0,Gina Haspel named 1st female CIA director: 5 things to know about the career spymaster https://t.co/Jj9jk5FqYa
-0.3079,Tue Mar 13 15:05:00 +0000 2018,0.795,0.13,0.075,"“We got along actually quite well but we disagreed on things.”

.@POTUS spoke to reporters about Rex Tillerson afte… https://t.co/u0izQoe4F8"
0.0,Tue Mar 13 15:04:19 +0000 2018,1.0,0.0,0.0,Mike Pompeo picked as Trump's new secretary of state: What to know about him https://t.co/86nrFNf13M
-0.743,Tue Mar 13 14:57:14 +0000 2018,0.674,0.326,0.0,"Senators @marcorubio and @senorrinhatch hold a news conference to discuss the ""Stop School Violence Act."" https://t.co/1T2ZrmKE59"
0.3612,Tue Mar 13 14:51:13 +0000 2018,0.898,0.0,0.102,.@David_Bossie: “This is just like Donald Trump to make these big changes so that he can get the next three years o… https://t.co/ZdkVjhtG2U
0.296,Tue Mar 13 14:50:47 +0000 2018,0.872,0.0,0.128,.@David_Bossie: “This president wants people around him that share his non-establishment way of doing things.” https://t.co/hN8ImkQp3a
-0.7351,Tue Mar 13 14:27:57 +0000 2018,0.677,0.323,0.0,"Trump Explains Rex Tillerson's Firing, Will Speak to May on Poisoning of Ex-Russian Spy https://t.co/6hD0El5lqp"
-0.6486,Tue Mar 13 14:00:27 +0000 2018,0.65,0.35,0.0,"Craig Mack, Grammy Award-nominated rapper, dead at 46 https://t.co/wd0NH2qrkp"
-0.8957,Tue Mar 13 13:57:15 +0000 2018,0.543,0.457,0.0,"JUST IN: At least 1 dead, several others seriously injured in high school charter bus accident in Alabama https://t.co/E2XH0AuD2k"
0.0,Tue Mar 13 13:43:36 +0000 2018,1.0,0.0,0.0,Rex Tillerson's career as secretary of state under Trump https://t.co/Z6jDsVK4fa
0.2732,Tue Mar 13 13:37:10 +0000 2018,0.884,0.0,0.116,".@POTUS: “Right from the beginning, from day one, I’ve gotten along well with Mike Pompeo.” https://t.co/c2PDVbP7YR https://t.co/3WHjc1e3lV"
0.8422,Tue Mar 13 13:35:25 +0000 2018,0.57,0.0,0.43,.@POTUS: “Rex is a very good man… I really appreciate his commitment and his service.” https://t.co/c2PDVbP7YR https://t.co/jXo9KWIvwJ
0.8834,Tue Mar 13 13:34:21 +0000 2018,0.593,0.0,0.407,.@POTUS: “I think Mike Pompeo will be a truly great Secretary of State. I have total confidence in him.”… https://t.co/MRK6oDGbN2
0.4019,Tue Mar 13 13:31:51 +0000 2018,0.722,0.0,0.278,.@POTUS: “I wish Rex Tillerson well.” https://t.co/c2PDVbP7YR https://t.co/0XIGvqAhet
0.0,Tue Mar 13 13:25:27 +0000 2018,1.0,0.0,0.0,"Moments ago, CIA Director Mike Pompeo released a statement on President Donald Trump's plans to nominate him as Sec… https://t.co/fDMfvNvKXQ"
0.0,Tue Mar 13 13:04:38 +0000 2018,1.0,0.0,0.0,LIVE Breaking News Coverage: Tillerson is out as Secretary of State https://t.co/c2PDVbP7YR https://t.co/lXIZPzIp3Z
0.0,Tue Mar 13 13:00:48 +0000 2018,1.0,0.0,0.0,.@johnrobertsFox on Rex Tillerson to be replaced by Mike Pompeo https://t.co/c2PDVbP7YR https://t.co/mCPqK7J8UK
-0.296,Tue Mar 13 12:59:32 +0000 2018,0.885,0.115,0.0,Moments ago President @realDonaldTrump announced that Rex Tillerson will no longer be Secretary of State. Mike Pomp… https://t.co/V30ZI930Jj
0.0,Tue Mar 13 12:51:42 +0000 2018,1.0,0.0,0.0,"JUST IN: @POTUS says Rex Tillerson out as Secretary of State, replaced by Mike Pompeo https://t.co/wbtC2UHnim"
0.0,Tue Mar 13 12:48:56 +0000 2018,1.0,0.0,0.0,BREAKING NEWS: Rex Tillerson is out as Secretary of State. Mike Pompeo to replace him. https://t.co/KDTH3DslUO
-0.128,Tue Mar 13 12:43:36 +0000 2018,0.741,0.14,0.119,.@michellemalkin: “The city and county of Denver are safe spaces for all sorts of criminal aliens and deportation f… https://t.co/XOnXuY4knR
0.3818,Tue Mar 13 12:37:50 +0000 2018,0.843,0.0,0.157,.@DevinNunes: “We did find clear links between the Russians and the Hillary Clinton campaign.” https://t.co/LnTQiT60H6
0.0,Tue Mar 13 12:35:37 +0000 2018,1.0,0.0,0.0,.@DevinNunes: “We spent 14 months on this investigation looking for collusion. We didn’t find any.” https://t.co/fAcwZTkxF4
0.0258,Tue Mar 13 12:34:48 +0000 2018,0.705,0.166,0.129,".@DevinNunes: “We have serious, real problems in this country… we need to get our FBI and our intelligence agencies… https://t.co/XggQZ6korJ"
0.4215,Tue Mar 13 12:31:17 +0000 2018,0.763,0.0,0.237,"Massive, 6-inch hairy spider saved from mind-blowing Australian flood https://t.co/puN6Pqf8fL"
0.4939,Tue Mar 13 12:28:22 +0000 2018,0.842,0.0,0.158,".@AndyPuzder: “It’d be an honor to serve in this administration. President asks you to serve, you serve.” https://t.co/il1TE3Xpn3"
0.5859,Tue Mar 13 12:25:39 +0000 2018,0.84,0.0,0.16,"RT @FoxBusiness: .@Saccone4PA18 on the economy: ""It's amazing what's going on and we're just getting started... There's a lot more to come.…"
0.2732,Tue Mar 13 12:22:46 +0000 2018,0.619,0.142,0.239,Driver stops to help elderly man cross street https://t.co/EWYvVMbnZC
-0.0772,Tue Mar 13 12:21:57 +0000 2018,0.925,0.075,0.0,".@Johnny_Joey: ""We should be having a serious conversation about our culture and about detecting these things, surv… https://t.co/7t9pg7t4hV"
0.0,Tue Mar 13 12:17:41 +0000 2018,1.0,0.0,0.0,.@Johnny_Joey on Austin package bombs: “If you see one of these packages without any type of labeling or postage on… https://t.co/lxoqFO7vdu
0.4019,Tue Mar 13 12:10:38 +0000 2018,0.803,0.0,0.197,.@DonaldJTrumpJr on @Saccone4PA18 and special election for Pennsylvania House seat @foxandfriends… https://t.co/JFSYmtSjlf
0.1779,Tue Mar 13 12:05:00 +0000 2018,0.821,0.072,0.108,Austin package bombs made with 'certain level of skill'; residents keep cautious eye on deliveries (via @travfed)  https://t.co/LI8X9b5O35
0.0,Tue Mar 13 12:01:19 +0000 2018,1.0,0.0,0.0,.@DonaldJTrumpJr on @POTUS to inspect California border wall prototypes: “He knows how to build and once he gets th… https://t.co/nfSEpw3iNb
0.4767,Tue Mar 13 11:47:02 +0000 2018,0.763,0.0,0.237,.@DonaldJTrumpJr on House Intelligence Committee's report: “I’m not surprised.” https://t.co/DMaKzRzJAi… https://t.co/WxUOIYrery
0.2023,Tue Mar 13 11:32:32 +0000 2018,0.899,0.0,0.101,.@Saccone4PA18 on tariffs: “Our steel workers can compete anywhere in the world on a level playing field.”… https://t.co/ChRjFcjb1N
