Compound,Date,Negative,Neutral,Positive,Text
-0.8442,Tue Mar 13 18:59:00 +0000 2018,0.569,0.431,0.0,"Prosecutors will seek the death penalty for Nikolas Cruz, the Parkland school shooting suspect https://t.co/RqyvjfjXoL"
-0.8225,Tue Mar 13 18:48:03 +0000 2018,0.664,0.336,0.0,Britain has financial and diplomatic weapons it can use against Russia to respond to the suspected poisoning of a f… https://t.co/Zu7V37qvSi
0.3612,Tue Mar 13 18:38:03 +0000 2018,0.872,0.0,0.128,Some new restaurants you just know are going to be copied like Chanel handbags. See: Babu Ji. https://t.co/Gl3IUaUu3L
-0.0772,Tue Mar 13 18:28:05 +0000 2018,0.791,0.112,0.098,"RT @nytpolitics: Tillerson's firing caught even the White House staff by surprise. A day earlier, a White House spokesman berated a reporte…"
0.0,Tue Mar 13 18:18:03 +0000 2018,1.0,0.0,0.0,It was the eye roll seen across China https://t.co/S4mDOaSRD3
0.4678,Tue Mar 13 18:08:03 +0000 2018,0.808,0.0,0.192,"Analysts are fond of describing the U.S. health care system as wasteful, but a new study questions that conclusion https://t.co/I3dLV5tjYu"
-0.1027,Tue Mar 13 17:58:06 +0000 2018,0.935,0.065,0.0,RT @nytimesbusiness: Factories in China's aluminum industry show just how hard it may for Trump to influence Beijing's policies with tariff…
0.5574,Tue Mar 13 17:48:02 +0000 2018,0.787,0.0,0.213,"Analysis: Mike Pompeo has been an enthusiastic defender of President Trump's policies, to the point that many senio… https://t.co/ICMgCbUfz3"
0.0,Tue Mar 13 17:38:06 +0000 2018,1.0,0.0,0.0,"RT @nytgraphics: Trump wants a border wall. We mapped what's in place already:
https://t.co/gT05vk1j5g https://t.co/YW25Ap71sh"
0.2235,Tue Mar 13 17:37:43 +0000 2018,0.914,0.0,0.086,"We're not saying a No. 16 is going to beat a No.1.
We're just saying Penn could maybe possibly beat Kansas.
Maybe. https://t.co/LPYBGPkKsV"
0.0,Tue Mar 13 17:28:06 +0000 2018,1.0,0.0,0.0,RT @UpshotNYT: The Upshot's live forecast is back. Questions? We have answers. https://t.co/UdmHhhZwuS
0.34,Tue Mar 13 17:19:49 +0000 2018,0.876,0.0,0.124,President Trump's personal assistant was escorted from the White House after his security clearance was revoked. Bu… https://t.co/WBctd2bljy
0.0,Tue Mar 13 17:16:04 +0000 2018,1.0,0.0,0.0,Two of the women have described incidents over the past 10 years in which they were sent to Meier’s New York apartm… https://t.co/OieiMDJg5o
-0.5423,Tue Mar 13 17:14:31 +0000 2018,0.844,0.156,0.0,"Five women told The Times that the star architect Richard Meier sexually harassed them. In response, he announced a… https://t.co/tylxvLa39Y"
0.4404,Tue Mar 13 16:58:05 +0000 2018,0.873,0.0,0.127,RT @nytimesbusiness: The hope is for a commercial network of flying taxis in New Zealand in as soon as three years https://t.co/Mg4Z0jOtY2
0.0,Tue Mar 13 16:48:07 +0000 2018,1.0,0.0,0.0,"Charles Manson's purported grandson has said he wants to give him a ""proper burial"" by spreading his ashes https://t.co/TXHoQlpuzQ"
-0.25,Tue Mar 13 16:46:01 +0000 2018,0.796,0.124,0.08,"Joseph Percoco, a former top aide to Gov. Andrew Cuomo, was found guilty of taking bribes from people seeking state… https://t.co/xWluysTLqX"
0.0,Tue Mar 13 16:37:40 +0000 2018,1.0,0.0,0.0,"If confirmed as secretary of state, Mike Pompeo is likely to be one of the most conservative secretaries of state i… https://t.co/9evzWHus0r"
-0.802,Tue Mar 13 16:28:04 +0000 2018,0.69,0.31,0.0,"Two people were killed and 3 injured in 3 separate package explosions in Austin, Texas, this month. Police believe… https://t.co/t1rkNpGDzU"
0.0,Tue Mar 13 16:18:08 +0000 2018,1.0,0.0,0.0,"Before there were ""brand ambassadors,"" there were Hubert de Givenchy and Audrey Hepburn https://t.co/8NoK16y7F7"
-0.7579,Tue Mar 13 16:08:05 +0000 2018,0.723,0.277,0.0,"Congress quashed research into gun violence. In the 22 years since, more than 600,000 people have been shot. https://t.co/2yGbmm7ZbL"
-0.4588,Tue Mar 13 15:58:06 +0000 2018,0.857,0.143,0.0,"John McEntee, who served as President Trump's personal assistant, was forced out and escorted from the White House… https://t.co/tlAVTHn9HU"
-0.8105,Tue Mar 13 15:48:04 +0000 2018,0.715,0.285,0.0,"RT @grynbaum: REPORTER: Did you fire him because he called you a moron?

TRUMP: What?

REPORTER: Did you fire him because he called you a m…"
-0.4939,Tue Mar 13 15:41:07 +0000 2018,0.811,0.189,0.0,A spokesman for ICE has resigned. saying that he could no longer “bear the burden” of spreading falsehoods on behal… https://t.co/wXqWfkUBRu
0.34,Tue Mar 13 15:34:48 +0000 2018,0.727,0.075,0.198,RT @sapna: brands know it's easy to fake popularity on social media but still want to hire influencers. so they're turning to companies tha…
-0.7269,Tue Mar 13 15:28:01 +0000 2018,0.766,0.234,0.0,RT @nytpolitics: Over the past 14 months there have been at least eight complaints against White House officials for potential violations o…
-0.7096,Tue Mar 13 15:18:02 +0000 2018,0.742,0.258,0.0,The Metropolitan Opera fired James Levine over sexual misconduct accusations. It may be time to reconsider the vast… https://t.co/6eODH4lVqy
0.0,Tue Mar 13 15:08:03 +0000 2018,1.0,0.0,0.0,RT @nytgraphics: We asked a panel of experts how they think power has shifted in Asia in the past five years https://t.co/EEYfPG37Sc
-0.3182,Tue Mar 13 14:58:04 +0000 2018,0.881,0.119,0.0,How young is too young for a national gun-violence walkout? Principals and school districts are wrestling with the… https://t.co/vo3Pd5baZ6
0.4019,Tue Mar 13 14:48:05 +0000 2018,0.87,0.0,0.13,Pennsylvania's special House election has evolved into the latest test of whether Democrats can make inroads in a d… https://t.co/fNjDjoh7lf
0.0,Tue Mar 13 14:46:17 +0000 2018,1.0,0.0,0.0,RT @nytpolitics: President Trump answered questions about the State Department shake-up on the South Lawn of the White House. Here is a tra…
-0.0516,Tue Mar 13 14:38:09 +0000 2018,0.611,0.2,0.189,RT @nytimesbusiness: Reese Witherspoon and Nicole Kidman are winning the streaming wars https://t.co/ODm5arBLVA
-0.5859,Tue Mar 13 14:30:05 +0000 2018,0.833,0.167,0.0,"Russia's foreign minister said that his country had nothing to do with the poisoning of a former Russian spy, dismi… https://t.co/9oLsR8rqNg"
0.0,Tue Mar 13 14:15:41 +0000 2018,1.0,0.0,0.0,Correction: We've deleted an earlier tweet to this story that misstated Gina Haspel's current role. She is Presiden… https://t.co/6JdLCtfzsX
-0.5994,Tue Mar 13 14:14:05 +0000 2018,0.837,0.163,0.0,"President Trump’s pick for CIA chief is Gina Haspel. In February 2017, we reported that she oversaw the torture of… https://t.co/wQNhFuOmoX"
0.0,Tue Mar 13 14:00:16 +0000 2018,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/LxNRU3Do35 https://t.co/CFZj9mLUMq
-0.1263,Tue Mar 13 13:45:08 +0000 2018,0.795,0.113,0.092,"""I have trouble settling down, and he's got very rhythmic breathing,” said a woman of her dog. ""It's almost like wh… https://t.co/Hbjrq3PJIh"
-0.2732,Tue Mar 13 13:20:08 +0000 2018,0.769,0.231,0.0,How Trump blocked the biggest-ever tech takeover https://t.co/bOJdeC1aeq
0.6808,Tue Mar 13 13:14:02 +0000 2018,0.772,0.0,0.228,"Mike Pompeo has called for the Iran nuclear agreement to be ripped up, played down talk of Russia's interference in… https://t.co/TBJaQ15iO7"
0.0,Tue Mar 13 12:57:35 +0000 2018,1.0,0.0,0.0,"Breaking News: Secretary of State Rex Tillerson is out, after a rocky tenure. President Trump will replace him with… https://t.co/G6uSq5HW1E"
-0.4404,Tue Mar 13 12:45:09 +0000 2018,0.828,0.172,0.0,Stephen Colbert asks why President Trump is scared of Stormy Daniels. Our late-night roundup: https://t.co/TuHDwqsBN0
0.0,Tue Mar 13 12:30:07 +0000 2018,1.0,0.0,0.0,Trump finds an unlikely culprit in school shootings: an Obama-era guidance document that sought to rein in the susp… https://t.co/GmAdtaVdZh
-0.765,Tue Mar 13 12:16:05 +0000 2018,0.732,0.268,0.0,The police have warned residents not to touch any unexpected packages after 2 people have been killed in package ex… https://t.co/egIPvvypRt
0.0,Tue Mar 13 12:00:13 +0000 2018,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/Hcp9YkqqhZ https://t.co/4S9nXzzKRC
0.7579,Tue Mar 13 11:45:03 +0000 2018,0.723,0.0,0.277,"In Opinion

The editorial board writes: ""While President Trump has allowed Vladimir Putin a free hand to meddle in… https://t.co/nrG76fGia7"
-0.4215,Tue Mar 13 11:31:04 +0000 2018,0.877,0.123,0.0,"RT @nytimesworld: The billionaire Boris Berezovsky, a bitter Putin opponent who was found hanging in a locked bathroom in London, used to s…"
0.0,Tue Mar 13 11:16:08 +0000 2018,1.0,0.0,0.0,Japan is scrambling to remain diplomatically relevant as President Trump moderates his tone in preparation for a po… https://t.co/WEUSKEnBK3
0.1027,Tue Mar 13 11:00:12 +0000 2018,0.766,0.108,0.126,"Venezuela placed the opposition leader Leopoldo López under house arrest, hoping to keep him quiet. But he continue… https://t.co/n7Ln3GwvXG"
0.0,Tue Mar 13 10:45:07 +0000 2018,1.0,0.0,0.0,Venus Williams now has her first victory over Serena since 2014 https://t.co/nMiDMGWOJ6
0.0,Tue Mar 13 10:30:11 +0000 2018,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/WK74EQPQT7 https://t.co/2apUa1f9ib
0.2944,Tue Mar 13 10:16:05 +0000 2018,0.785,0.083,0.132,A part-time DJ and a karate black belt were vying to be the next leader of arguably the world's most influential ba… https://t.co/trZkzPMcG0
0.2023,Tue Mar 13 10:00:21 +0000 2018,0.904,0.0,0.096,These casual environments where alcohol lightens the mood and erodes boundaries prompt restaurant workers to ask: H… https://t.co/xBI7nYIkaI
0.7506,Tue Mar 13 09:45:04 +0000 2018,0.738,0.0,0.262,"""The Nepali people were saying, 'Bachaau, bachaau,' which means 'Save me, save me,''"" said an army rescuer. ""The Ba… https://t.co/yIkJRpeFnX"
-0.8316,Tue Mar 13 09:30:15 +0000 2018,0.672,0.328,0.0,"RT @nytimesworld: The government in Slovakia, struggling to stay in power after the murder of a journalist who exposed corruption, says a t…"
-0.1531,Tue Mar 13 09:16:06 +0000 2018,0.756,0.134,0.109,"""It is now clear that Mr. Skripal and his daughter were poisoned with a military-grade nerve agent of a type develo… https://t.co/5lik3jnrzW"
-0.7845,Tue Mar 13 08:59:03 +0000 2018,0.711,0.289,0.0,"Oskar Gröning, the ""bookkeeper of Auschwitz,"" was accused as an accomplice in the murder of some 300,000 Hungarian… https://t.co/d2DpENNOXp"
0.0,Tue Mar 13 08:45:06 +0000 2018,1.0,0.0,0.0,"RT @nytimesworld: Archaeological sites in South Africa suggest that prehistoric humans thrived after the Toba supereruption 74,000 years ag…"
0.0772,Tue Mar 13 08:31:04 +0000 2018,0.674,0.139,0.187,"""I know that Russian security services are capable of assassinations in London or any part of the world if a decisi… https://t.co/gbmOBuyU4e"
0.802,Tue Mar 13 08:14:05 +0000 2018,0.699,0.0,0.301,"RT @nytimesworld: France's far-right leader Marine Le Pen is proposing a new name for her National Front party, hoping to boost its elector…"
-0.5574,Tue Mar 13 08:02:06 +0000 2018,0.833,0.167,0.0,The Metropolitan Opera fired the conductor James Levine after an investigation found what the Met called credible e… https://t.co/hNdxppAIbQ
-0.4215,Tue Mar 13 07:47:06 +0000 2018,0.667,0.225,0.108,RT @UpshotNYT: China broke with its longstanding policy of prioritizing economic growth over environmental concerns to fight air pollution…
0.0,Tue Mar 13 07:30:10 +0000 2018,1.0,0.0,0.0,These extraordinary women — and so many others — did not have obituaries in The New York Times. Until now. https://t.co/fHWoWxD50v
0.296,Tue Mar 13 07:17:01 +0000 2018,0.81,0.074,0.116,Millions of women and children work as sex slaves in India. Meet the woman who has put her life at risk to rescue 2… https://t.co/EUOR46WX4p
0.4588,Tue Mar 13 07:02:01 +0000 2018,0.714,0.071,0.214,The United States’ military capabilities still dominate Asia. But China has started to wield growing military power… https://t.co/UVfQsXgrK7
0.25,Tue Mar 13 06:55:53 +0000 2018,0.882,0.0,0.118,"Your Money Adviser: Interest on Home Equity Loans Is Still Deductible, but With a Big Caveat https://t.co/TbjAgs1NrZ"
-0.7845,Tue Mar 13 06:34:55 +0000 2018,0.635,0.365,0.0,"For more than 3 decades, her murder remained unsolved. The authorities now have a suspect. https://t.co/TGe65Y3q1k"
0.0,Tue Mar 13 06:18:01 +0000 2018,1.0,0.0,0.0,RT @NYTSports: Sweden's sled hockey goalie at the Paralympics is 53. And he isn't even the oldest player on his team. Or the oldest goalie…
0.5859,Tue Mar 13 05:58:54 +0000 2018,0.678,0.0,0.322,Editorial: Democrats Can’t Win if They Don’t Run https://t.co/Eo7ixF9h6e
-0.128,Tue Mar 13 05:52:28 +0000 2018,0.663,0.182,0.155,"“I lied,” said the antiques dealer. “I cheated. I stole.” And he succeeded, temporarily. https://t.co/O1jS97Lzu2"
0.4404,Tue Mar 13 05:36:00 +0000 2018,0.847,0.0,0.153,Here's how to eat less sugar without sacrificing much — if any — of the pleasures of eating https://t.co/8iZ2wPdv4R
-0.4215,Tue Mar 13 05:18:02 +0000 2018,0.877,0.123,0.0,"RT @nytimesworld: The billionaire Boris Berezovsky, a bitter Putin opponent who was found hanging in a locked bathroom in London, used to s…"
0.2732,Tue Mar 13 05:00:21 +0000 2018,0.711,0.118,0.171,"Servers ignore comments about their bodies, laugh off propositions and deflect behavior that makes them uncomfortab… https://t.co/w8qLIn6BYM"
0.0772,Tue Mar 13 04:47:01 +0000 2018,0.944,0.0,0.056,"RT @NYTStyles: ""As a gynecologist I am frequently asked about the 'right number' of times to have sex a month. There isn’t one."" Read the l…"
0.0,Tue Mar 13 04:32:07 +0000 2018,1.0,0.0,0.0,Scientists have found another way to tell alligators and crocodiles apart https://t.co/0xWWmIDNzf
0.0,Tue Mar 13 04:17:05 +0000 2018,1.0,0.0,0.0,"“No one can predict what will happen to Cuba in the coming years, which is why you must rush there now. As in, righ… https://t.co/Z7eLxUuOEn"
0.0,Tue Mar 13 04:02:01 +0000 2018,1.0,0.0,0.0,"President Trump is making his first visit as president to California on Tuesday, but he has not made plans to meet… https://t.co/5Eg29bXELj"
0.128,Tue Mar 13 03:46:03 +0000 2018,0.766,0.105,0.129,"Here are 6 NCAA bracket busters that @marcatracy and @zschonbrun think could hit. (Including, yes, a No. 16 beating… https://t.co/xHuqubJL6a"
-0.296,Tue Mar 13 03:32:07 +0000 2018,0.732,0.268,0.0,How to stop eating sugar https://t.co/ua89Cgmtye https://t.co/vz5wJ0F6FO
0.0,Tue Mar 13 03:17:06 +0000 2018,1.0,0.0,0.0,"RT @nytopinion: The story of the rise of Peter Navarro, the president’s trade czar, tells you a lot about the nature of the Trump administr…"
0.0,Tue Mar 13 03:02:06 +0000 2018,1.0,0.0,0.0,Before there was Rosa Parks there was Viola Desmond. Now Canada is putting her on its currency. https://t.co/8wn9FG94UW
0.5413,Tue Mar 13 02:51:01 +0000 2018,0.837,0.0,0.163,"""I will ask myself more compassionate questions and look for nonjudgmental answers,"" wrote one of the nearly 1,200… https://t.co/TArmYVykD9"
0.0,Tue Mar 13 02:41:00 +0000 2018,1.0,0.0,0.0,"The investigation, which the Met opened in December after this report in The New York Times, found evidence of abus… https://t.co/U9hEy3qB0j"
0.0,Tue Mar 13 02:30:10 +0000 2018,1.0,0.0,0.0,“A photograph is a secret about a secret. The more it tells you the less you know.” — Diane Arbus… https://t.co/cDflOWTAcw
-0.5859,Tue Mar 13 02:17:04 +0000 2018,0.833,0.167,0.0,Secretary of State Rex Tillerson called the poisoning of a former Russian spy in Britain “an egregious act” and add… https://t.co/XWEw3dg7um
0.6249,Tue Mar 13 02:02:02 +0000 2018,0.83,0.0,0.17,"The man patted his lap, beckoned her to sit and said, ""I'm a great tipper."" Restaurant servers talk about the haras… https://t.co/q5lKn70vyJ"
0.0,Tue Mar 13 01:47:01 +0000 2018,1.0,0.0,0.0,RT @nytopinion: A stranger snapped a photo of my daughter mesmerized by Amy Sherald's portrait of Michelle Obama. The image resonated with…
0.0,Tue Mar 13 01:32:04 +0000 2018,1.0,0.0,0.0,New England is bracing for yet another winter storm — a third in less than two weeks https://t.co/xMeFdHyFHZ
-0.235,Tue Mar 13 01:17:07 +0000 2018,0.838,0.1,0.062,"RT @marcatracy: Two years ago, all six of the first-round upsets @zschonbrun and I picked were right. so maybe you'll want to consult this…"
0.0,Tue Mar 13 01:02:05 +0000 2018,1.0,0.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/qHy2he7FzU
0.0,Tue Mar 13 00:47:03 +0000 2018,1.0,0.0,0.0,"If you plan to visit Brazil, the CDC says you will need a yellow fever vaccination https://t.co/xfUwG2UNKF"
0.5448,Tue Mar 13 00:32:04 +0000 2018,0.844,0.0,0.156,Supervolcanoes have the power to coat entire continents in ash. But they might not be as apocalyptic as previously… https://t.co/8TKke5mPFd
-0.4767,Tue Mar 13 00:17:07 +0000 2018,0.7,0.21,0.089,RT @nytpolitics: President Trump has abandoned his live-on-television promise to work for gun control measures that are opposed by the Nati…
0.0,Tue Mar 13 00:00:14 +0000 2018,1.0,0.0,0.0,"The idea that the ""customer is always right"" leaves servers caught in a power imbalance that has become front and c… https://t.co/anoDWyzpbo"
0.4588,Mon Mar 12 23:47:02 +0000 2018,0.714,0.071,0.214,The United States’ military capabilities still dominate Asia. But China has started to wield growing military power… https://t.co/G704k2cBje
0.0,Mon Mar 12 23:32:03 +0000 2018,1.0,0.0,0.0,How to spend 36 hours in Auckland https://t.co/Q4Drc82aHL
0.0,Mon Mar 12 23:17:01 +0000 2018,1.0,0.0,0.0,"RT @NYTObits: Oskar Gröning, a corporal in Hitler’s Waffen SS who became known as the bookkeeper of Auschwitz and was one of the very last…"
-0.2732,Mon Mar 12 23:05:08 +0000 2018,0.884,0.116,0.0,"Breaking News: President Trump blocked a takeover of the chip maker Qualcomm by Singapore-based Broadcom, citing na… https://t.co/tYJjVfJPRl"
-0.128,Mon Mar 12 23:02:07 +0000 2018,0.663,0.182,0.155,"“I lied,” said the antiques dealer. “I cheated. I stole.” And he succeeded, temporarily. https://t.co/32gPjjA1BN"
0.0,Mon Mar 12 22:47:05 +0000 2018,1.0,0.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/utu8MTuczf
-0.6597,Mon Mar 12 22:32:06 +0000 2018,0.804,0.196,0.0,"Packages exploded at 2 homes in Austin, Texas, killing 1 and injuring 2. The police think they’re linked to another… https://t.co/qzSRIhdbrp"
